trades

TRADENO;TRADEDATE;TRADETIME;SECID;BOARDID;PRICE;QUANTITY;VALUE;TYPE;BUYSELL
1268518486;19.07.2011;18:44:36;LKOH;EQBR;1827,9;50;91395;;B
1268518487;19.07.2011;18:44:36;LKOH;EQBR;1827,9;300;548370;;B
1268518488;19.07.2011;18:44:36;LKOH;EQBR;1827,9;6;10967,4;;B
1268518489;19.07.2011;18:44:36;LKOH;EQBR;1827,9;70;127953;;B
1268518490;19.07.2011;18:44:36;LKOH;EQBR;1828;1000;1828000;;B
1268518491;19.07.2011;18:44:36;VTBR;EQNL;0,08539;90000;7685,1;;B
1268518492;19.07.2011;18:44:36;LKOH;EQBR;1828;10;18280;;S
1268518493;19.07.2011;18:44:36;LKOH;EQBR;1828;10;18280;;S
1268518494;19.07.2011;18:44:36;TGKE;EQNL;0,011788;900000;10609,2;;B
1268518495;19.07.2011;18:44:36;TGKE;EQNL;0,011789;100000;1178,9;;B
1268518496;19.07.2011;18:44:36;TGKE;EQNL;0,011789;100000;1178,9;;B
1268518497;19.07.2011;18:44:36;TGKE;EQNL;0,01179;100000;1179;;B
1268518498;19.07.2011;18:44:36;SBER03;EQBR;102,35;1000;102350;;S
1268518499;19.07.2011;18:44:36;OGKE;EQBR;2,4369;2000;4873,8;;B
1268518500;19.07.2011;18:44:36;OGKE;EQBR;2,4369;2000;4873,8;;B
1268518501;19.07.2011;18:44:36;OGKE;EQBR;2,4369;1000;2436,9;;B
1268518502;19.07.2011;18:44:36;OGKE;EQBR;2,4369;1000;2436,9;;B
1268518503;19.07.2011;18:44:36;OGKE;EQBR;2,437;1000;2437;;B
1268518504;19.07.2011;18:44:36;OGKE;EQBR;2,4379;4000;9751,6;;B
1268518505;19.07.2011;18:44:36;OGKE;EQBR;2,438;39000;95082;;B
1268518506;19.07.2011;18:44:36;LKOH;EQBR;1828;10;18280;;B
1268518507;19.07.2011;18:44:36;LKOH;EQBR;1828,3;10;18283;;B
1268518508;19.07.2011;18:44:36;LKOH;EQBR;1828,5;36;65826;;B
1268518509;19.07.2011;18:44:36;LKOH;EQBR;1828,7;60;109722;;B
1268518510;19.07.2011;18:44:36;LKOH;EQBR;1828,7;116;212129,2;;B
1268518511;19.07.2011;18:44:36;CHMF;EQNL;510,4;90;45936;;B
1268518512;19.07.2011;18:44:36;CHMF;EQNL;510,4;110;56144;;B
1268518513;19.07.2011;18:44:36;LKOH;EQBR;1828,7;116;212129,2;;B
1268518514;19.07.2011;18:44:36;LKOH;EQBR;1828,7;88;160925,6;;B
1268518515;19.07.2011;18:44:36;LKOH;EQBR;1828,7;88;160925,6;;B
1268518516;19.07.2011;18:44:36;LKOH;EQBR;1828,7;73;133495,1;;B
1268518517;19.07.2011;18:44:36;LKOH;EQBR;1828,7;15;27430,5;;B
1268518518;19.07.2011;18:44:36;LKOH;EQBR;1828;40;73120;;B
1268518519;19.07.2011;18:44:36;LKOH;EQBR;1828;30;54840;;B
1268518520;19.07.2011;18:44:36;LKOH;EQBR;1828,7;3;5486,1;;B
1268518521;19.07.2011;18:44:36;LKOH;EQBR;1828,7;7;12800,9;;B
1268518522;19.07.2011;18:44:36;LKOH;EQBR;1828,7;8;14629,6;;B
1268518523;19.07.2011;18:44:36;LKOH;EQBR;1828,7;15;27430,5;;B
1268518524;19.07.2011;18:44:36;LKOH;EQBR;1828,7;15;27430,5;;B
1268518525;19.07.2011;18:44:36;LKOH;EQBR;1828,7;15;27430,5;;B
1268518526;19.07.2011;18:44:36;LKOH;EQBR;1828,7;15;27430,5;;B
1268518527;19.07.2011;18:44:36;LKOH;EQBR;1828,7;15;27430,5;;B
1268518528;19.07.2011;18:44:36;LKOH;EQBR;1828,7;3;5486,1;;B
1268518529;19.07.2011;18:44:36;LKOH;EQBR;1828,7;14;25601,8;;B
1268518530;19.07.2011;18:44:36;LKOH;EQBR;1828,7;15;27430,5;;B
1268518531;19.07.2011;18:44:36;LKOH;EQBR;1828,7;11;20115,7;;B
1268518532;19.07.2011;18:44:36;LKOH;EQBR;1828,7;4;7314,8;;B
1268518533;19.07.2011;18:44:36;LKOH;EQBR;1828,7;15;27430,5;;B
1268518534;19.07.2011;18:44:36;LKOH;EQBR;1828,7;67;122522,9;;B
1268518535;19.07.2011;18:44:36;LKOH;EQBR;1828,8;86;157276,8;;B
1268518536;19.07.2011;18:44:36;KROT;EQNE;292,12;10;2921,2;;S
1268518537;19.07.2011;18:44:36;SBER03;EQBR;102,37;2640;270256,8;;B
1268518538;19.07.2011;18:44:36;SBER03;EQBR;102,37;1340;137175,8;;B
1268518539;19.07.2011;18:44:36;SBER03;EQBR;102,37;300;30711;;B
1268518540;19.07.2011;18:44:36;SBER03;EQBR;102,38;40;4095,2;;B
1268518541;19.07.2011;18:44:36;SBER03;EQBR;102,38;300;30714;;B
1268518542;19.07.2011;18:44:36;LKOH;EQBR;1828,7;15;27430,5;;B
1268518543;19.07.2011;18:44:36;LKOH;EQBR;1828,7;272;497406,4;;B
1268518544;19.07.2011;18:44:36;LKOH;EQBR;1828,8;864;1580083,2;;B
